,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10
a_length_bin,0.0,1.4760728995504648e-21,4.012379417283511e-06,7.639661615767625e-34,2.4359709640939817e-51,8.30684176916909e-06,8.246113841824654e-21,0.0018848419544201568,2.3868530035233694e-31,6.141698036472374e-07,0.6700434027948321,1.5115971047672774e-137,2.631898057307081e-25,8.984680388742875e-11,0.00013183949090690844,0.00033102180528478035,0.3884785661626058,8.324051268714324e-06,0.00947677452055962,0.715483642761417,0.9779523709856693,0.0019922099353011286,0.033359670539011316,0.16699727587336938,0.00019267401486022573,0.014514758666719698
a_V_segment_spec,1.4760728995504757e-21,0.0,2.0787873372188117e-16,2.0139048815206212e-13,0.019210404870152176,4.018671028566893e-38,3.227083493574516e-06,0.016264728706711088,1.0663008830269486e-11,2.1103709787726236e-62,1.6122370108292935e-24,4.0748221978560827e-25,2.8027516128080443e-06,2.748760237497789e-35,0.6784801847659976,0.11398785075649626,0.00014604080789941848,0.0001655409907507762,8.274678012855008e-35,0.0169370945066718,1.1575180057869884e-09,6.446752029951663e-06,7.0748429937911415e-06,0.007183167704068222,0.08858632265908543,1.8994516676841056e-08
a_V_segment_agg,4.012379417283511e-06,2.0787873372188117e-16,0.0,3.372865288112801e-30,0.34866714246023556,0.020046687706454562,0.5589390791234471,0.6505401373897655,0.00142941338704891,1.1360202212969815e-08,1.5319872548152361e-13,3.873861770403592e-06,0.6060920236554851,0.015608029269010578,0.5469259277632653,0.03628147698266403,0.47849961481671854,0.0007595020711448175,0.24363386503925008,0.05060098406639285,0.39456035884544816,0.17936668700225525,0.29573614733071524,0.2729558768195283,0.49658094724660606,0.0010683881439052744
a_kidera1,7.639661615767625e-34,2.0139048815206212e-13,3.372865288112705e-30,0.0,1.4466131946170312e-10,2.3541721355531437e-05,2.8839379571270795e-06,3.1233742799352175e-68,0.038365363086826546,1.007468316901298e-16,5.279635554179991e-139,9.289804987404562e-70,0.8477393491015878,0.04069703204347288,0.009503339390939967,0.9318466568039898,0.5165008066634145,0.0002215278537708695,5.33507702131937e-07,0.5627484614580689,0.5865636598501565,0.0008262723553828087,0.008895838654666888,0.0015530492247949773,0.11144387559829545,0.0030503124047720973
a_kidera2,2.4359709640939817e-51,0.019210404870152176,0.34866714246023556,1.4466131946170312e-10,0.0,2.0296469911175198e-23,2.5748365320437743e-32,2.3398311948148474e-09,5.105735730302072e-47,3.118417074603122e-57,1.3455237269597157e-23,1.3480362560287877e-255,0.7169648313269275,2.7531370454961444e-05,2.5635549746415843e-23,0.16000857064329632,0.038057030800788566,9.441805664551556e-07,5.168484508317613e-07,1.5085503803787856e-07,1.4136706536265376e-16,0.839036138145319,5.533601656125349e-14,9.458881906030747e-19,0.47845051650554316,0.44154406515669054
a_kidera3,8.306841769169122e-06,4.018671028566893e-38,0.020046687706454562,2.3541721355531437e-05,2.0296469911175198e-23,0.0,0.4540968455838401,8.277337542436033e-61,0.03410531991638215,9.790935319401112e-30,6.318024544354297e-10,0.13914507526058634,1.674532669773857e-05,1.0634146207019643e-06,0.9646097206921695,0.0002907898970836542,0.06470697079543841,2.2796184480909644e-05,1.8719685176663994e-12,7.790913033067499e-07,0.18004680572826892,3.7803402075010955e-11,0.008615772776278582,0.4227708823922113,0.23297632632532297,0.006825887270876316
a_kidera4,8.24611384182489e-21,3.227083493574516e-06,0.5589390791234471,2.8839379571270795e-06,2.5748365320437015e-32,0.4540968455838401,0.0,4.513770626663292e-21,1.1363938369783207e-59,0.8117394403903003,9.12715362176216e-21,4.360601106516107e-16,2.9294780791725367e-28,3.553646289352252e-05,0.2973426516585679,0.1617810620778561,5.333730321900738e-05,0.20476815700755105,0.5667530933498142,0.02771775819708092,2.6366309132422885e-05,0.3678152615835226,1.9790571224921966e-05,1.7074898583296984e-09,0.5377440522718606,0.1999532939436459
a_kidera5,0.0018848419544201568,0.016264728706711116,0.6505401373897655,3.1233742799352175e-68,2.3398311948148474e-09,8.277337542435798e-61,4.513770626663292e-21,0.0,8.984954327444711e-21,1.2211243885102037e-24,3.7572332452343036e-25,4.139211701110775e-25,7.393858134951068e-07,6.9378416896648216e-06,0.00022501742941867395,0.18625184688797852,0.21459448721525456,0.1418762458367017,0.7810306173470227,4.540026747595717e-06,0.11379550991098374,0.00488948881288969,0.503540043029227,0.07776909266793315,0.07003135015337984,0.2092637477741407
a_kidera6,2.3868530035233694e-31,1.0663008830269486e-11,0.00142941338704891,0.038365363086826476,5.105735730302291e-47,0.03410531991638215,1.1363938369783207e-59,8.98495432744484e-21,0.0,0.42140687194880755,1.2148525174028884e-20,1.2117248170729863e-17,1.3528667262480948e-115,3.079672127720155e-06,2.035978179480687e-06,0.06913819979801043,0.9970943899404996,0.49913934668361104,0.00010827911989490162,0.0006279419488133379,0.9484222522311778,0.029261712758073103,9.100392827713086e-05,0.02503644510263903,0.5645023580814927,0.8822578053227893
a_kidera7,6.141698036472374e-07,2.1103709787726236e-62,1.1360202212969815e-08,1.007468316901298e-16,3.1184170746033885e-57,9.790935319401394e-30,0.8117394403903003,1.2211243885102037e-24,0.42140687194880755,0.0,2.333770018291662e-181,1.9683318950035404e-43,1.1029341070688158e-19,0.18061165612767513,0.016058373245136565,0.48177806859403705,0.2161651405615019,0.003231354383676783,6.29739035453883e-13,0.0051727775241470954,0.08421313864570922,0.2422730049124044,0.7873069166764065,0.1690125572199222,0.16899906004327656,0.001492160567390939
