,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10
a_length_bin,0.0,4.4637825423289203e-23,5.8418232899541865e-05,9.885716722136314e-41,2.4754564238746817e-55,0.01019033953274496,1.982132370674413e-23,0.00017915463208713873,1.067646677362922e-39,7.1332000364199345e-09,0.951030516851301,5.142450675005028e-168,1.1973986078846397e-23,2.333939659346489e-19,4.7210035841343204e-07,1.597593213966649e-05,0.7177130579442028,2.9665165264410943e-05,0.24297018633656156,0.7121048288920848,0.4166987951561234,0.020082194691557514,0.2165556825160323,0.6865635495982987,3.345166093031647e-05,0.1259793686155085
a_V_segment_spec,4.4637825423289203e-23,0.0,9.490887553232485e-08,1.1742915929708803e-11,0.019072532270275604,9.765277185442501e-44,4.6267020606605345e-06,0.0027066131567205403,3.4184825036195244e-11,6.254880355315968e-67,6.710145201640457e-29,6.819462499762516e-21,7.437871000768374e-07,0.11492775391924809,0.36658298662558875,0.09513263367018883,0.0007953251655661515,0.0002224679688115254,1.1150015033379613e-36,0.012055324955611785,4.389728503269811e-12,2.0551252350952346e-06,9.28842161237609e-07,0.00042861233702175884,0.2275523876007437,4.865772250784541e-10
a_V_segment_agg,5.8418232899541865e-05,9.490887553232485e-08,0.0,2.3770371263373516e-29,0.18958460280704337,0.3238424911628722,0.003499354076881926,0.027419181470892787,0.0014567859449934797,8.958052896239817e-06,2.530165032871323e-16,0.00019843791856645208,0.20859139620242215,1.691991725410016e-14,0.6109019986161457,0.08442385892231544,0.7781399917310335,0.015185456977626417,0.8420729756488624,0.0827365558267843,0.19483344907625727,0.8052944224401307,0.1397077057832868,0.02961852171084009,0.8057412504585617,0.010565248103204646
a_kidera1,9.885716722136314e-41,1.1742915929708803e-11,2.3770371263373516e-29,0.0,6.764869063569957e-13,3.002885711067753e-10,0.00036591326069108297,9.812165457316202e-66,0.04475450787138301,4.762305113162615e-15,1.768077517026881e-135,1.054976194420324e-56,0.7589224760741174,0.838551814245559,0.029778484661350992,0.6171387449848145,0.09226944569448849,0.014614370829397405,8.969232783186237e-05,0.21686594894309438,0.3296278670720757,0.061915950616918985,0.005709620018280364,0.0012212665038098505,0.3108810907094278,0.030198156114546335
a_kidera2,2.4754564238746817e-55,0.019072532270275604,0.18958460280704337,6.764869063569957e-13,0.0,5.332014123498728e-21,9.038241380119997e-32,7.197606044870845e-10,3.5053822053151694e-66,7.682752679744949e-58,9.639834339115946e-38,4.287068944712708e-274,0.021654141388357105,3.6953142345980656e-09,6.608565954423139e-19,0.9776601719276286,0.02166682271999895,1.2865687026789192e-07,3.09718046237896e-08,3.772433074041108e-08,3.496026475801616e-13,0.5859617247050357,2.3660984838108905e-13,3.4734099245621976e-16,0.7648886707419663,0.6033900092233502
a_kidera3,0.01019033953274496,9.765277185442501e-44,0.3238424911628722,3.002885711067753e-10,5.332014123498728e-21,0.0,0.457118477771138,3.0342276785163876e-66,0.00014208989932860722,1.3771292798261819e-27,8.882626437679151e-10,2.1305982689014773e-06,8.551014781086735e-07,0.000711262553523285,0.2985120612898847,0.00044723096806224545,0.19991288650140537,7.591909393983814e-05,1.8988456110158324e-12,4.178263805822571e-07,0.37477252629307856,1.9356978982568557e-10,0.005571125839386716,0.19340768009263917,0.07024021449161152,0.09624808200422051
a_kidera4,1.982132370674413e-23,4.6267020606605345e-06,0.003499354076881926,0.00036591326069108297,9.038241380119997e-32,0.457118477771138,0.0,8.884744748995579e-31,7.353709283831138e-93,0.7893707304646346,3.230429953840787e-18,1.355557661173229e-12,3.3180125075113034e-16,1.4178477623587667e-11,0.6100213866981747,0.2231374814699662,0.00026934179822512986,0.17347288410521683,0.7617147213420551,0.14283278807510352,0.0015388621872106584,0.37568263140814995,0.0001382766794571321,1.2150930508151375e-08,0.32269412896111704,0.5057467139507652
a_kidera5,0.00017915463208713873,0.0027066131567205403,0.027419181470892787,9.812165457316202e-66,7.197606044870845e-10,3.0342276785163876e-66,8.884744748995579e-31,0.0,4.735249808526438e-27,1.4907928481176645e-17,6.643902593325335e-23,1.541085402922936e-32,0.005861198077631298,0.005927711869719539,0.002158418937217215,0.8136556966024964,0.463975497215816,0.10855947736631327,0.8070420386767986,1.2848624714025657e-05,0.23978653845302447,0.0014607599441838223,0.45264202574371215,0.01964120138599926,0.021217744405833253,0.769531892938917
a_kidera6,1.067646677362922e-39,3.4184825036195244e-11,0.0014567859449934797,0.04475450787138301,3.5053822053151694e-66,0.00014208989932860722,7.353709283831138e-93,4.735249808526438e-27,0.0,0.7313759151063091,2.4704546589173153e-26,4.1542999299711816e-41,7.334852749475588e-101,0.9587668809741919,0.007371694222959196,0.06799679512965054,0.23633046641855351,0.2591208598080802,1.074559842520706e-05,0.0030732755156812385,0.3179840358537621,0.10778170223338703,0.021551657741323327,0.5765242299393765,0.7122663440029429,0.7611146652261847
a_kidera7,7.1332000364199345e-09,6.254880355315968e-67,8.958052896239817e-06,4.762305113162615e-15,7.682752679744949e-58,1.3771292798261819e-27,0.7893707304646346,1.4907928481176645e-17,0.7313759151063091,0.0,4.367499791828588e-195,3.050006110641519e-35,1.9476455637703018e-25,0.8070270561035807,0.17500214910750517,0.020105154195220687,0.553327119273185,0.02538061728314495,7.05767556110347e-14,0.011027669408221212,0.16962167898952055,0.7253847956958662,0.9530344929307968,0.2794177250985793,0.5267005888757637,0.011675210916597482
