,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10,are_paired
0,5.0,7.0,0.0,5.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,1.0
1,5.0,3.0,0.0,6.0,4.0,6.0,5.0,7.0,3.0,7.0,8.0,0.0,8.0,2.0,2.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,6.0,4.0,6.0,1.0,1.0
2,7.0,2.0,3.0,5.0,4.0,4.0,7.0,6.0,3.0,4.0,4.0,2.0,4.0,1.0,4.0,9.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,1.0
3,5.0,2.0,6.0,5.0,2.0,4.0,5.0,6.0,2.0,5.0,7.0,1.0,6.0,4.0,7.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,7.0,3.0,4.0,1.0
4,3.0,9.0,4.0,4.0,6.0,8.0,6.0,6.0,5.0,2.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,6.0,7.0,4.0,4.0,1.0
5,5.0,6.0,1.0,4.0,4.0,3.0,6.0,7.0,4.0,3.0,4.0,3.0,6.0,3.0,1.0,2.0,7.0,6.0,6.0,4.0,3.0,3.0,1.0,4.0,6.0,5.0,1.0
6,6.0,1.0,3.0,6.0,7.0,6.0,7.0,7.0,5.0,5.0,6.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,5.0,7.0,5.0,3.0,1.0
7,5.0,7.0,0.0,4.0,4.0,6.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,4.0,4.0,6.0,3.0,7.0,1.0
8,6.0,1.0,3.0,6.0,7.0,4.0,9.0,6.0,7.0,7.0,5.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,6.0,1.0
9,5.0,8.0,0.0,7.0,4.0,5.0,5.0,6.0,3.0,4.0,6.0,3.0,4.0,3.0,0.0,9.0,7.0,7.0,5.0,5.0,3.0,3.0,3.0,4.0,6.0,6.0,1.0
