,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10
a_length_bin,1.3657390878484241,0.10307390340064682,0.07617826007577613,0.05090615519970548,0.0659908654767525,0.045367256259202356,0.0476390860915103,0.033039124120912915,0.06192518309483853,0.037374288234745506,0.028929688664075043,0.1357631153881134,0.05960317034423208,0.06460105156286826,0.04211402293325585,0.038893898106048305,0.025910576210700725,0.023987564478797983,0.03397274073656538,0.015315178523253805,0.024749793208676686,0.019186776941290885,0.025647011266907084,0.020787890736068702,0.016676613812080014,0.02095245802717951
a_V_segment_spec,0.1030739034006468,2.012427824984796,0.45945718486841736,0.06157631095789709,0.07358364273848124,0.09614642647465252,0.04802817040578631,0.05151781883260195,0.09226829367052425,0.10400549333341887,0.09468968624007662,0.06853844996629722,0.07676463389763302,0.49715225304052607,0.12932558491066024,0.08322834461125662,0.05172841251579075,0.0458386148426986,0.0707972971953825,0.04008007224016795,0.09411834928860258,0.0500377689532951,0.04919099632971214,0.040912441718046394,0.02679358549447423,0.07287578839347392
a_V_segment_agg,0.07617826007577612,0.45945718486841736,1.7594969920755987,0.061047084003447445,0.045022091465860906,0.07809731721276968,0.032394549701281826,0.04268547814414545,0.0561392858269881,0.055447367318418386,0.05496950754387313,0.0572590282480793,0.046187930135376205,0.35296684989446875,0.091311954708296,0.05331453415575059,0.0379641297162429,0.0324097132308357,0.04862623065029087,0.024923011694925185,0.06526243761090263,0.04027107725243862,0.03802678768637107,0.030136274641132797,0.01991266912651668,0.05351730548084543
a_kidera1,0.0509061551997055,0.06157631095789709,0.06104708400344743,1.7837173290756114,0.05395541830510072,0.04088495666797029,0.0338444396709143,0.06872072818409274,0.04351754320885501,0.039748920125203674,0.13453678723587364,0.09019023964830664,0.03368647675943663,0.05140525469117539,0.03658385217895534,0.024055889550507206,0.01956684008865987,0.020622952153509296,0.030524769064419845,0.020764131582325422,0.020857990436735876,0.01929385013580759,0.014915994580110108,0.02109093905044224,0.011892061510766251,0.02117456966995659
a_kidera2,0.06599086547675248,0.07358364273848123,0.0450220914658609,0.053955418305100734,1.8197582109962198,0.062470003426822324,0.07343541174066547,0.05800792320916913,0.103921443806462,0.07916266212203409,0.11855541976555181,0.23158050641858263,0.06332392865265901,0.07508521824489503,0.06450430865094951,0.034718293599756866,0.01771742078380803,0.030460556694781732,0.035556136471989436,0.029250398897974608,0.030522496387709264,0.028918438353570348,0.03391373480058386,0.029481567179507926,0.018656833551096926,0.018680385701070525
a_kidera3,0.04536725625920235,0.0961464264746525,0.07809731721276969,0.04088495666797028,0.06247000342682233,1.7765859986636259,0.021570897968706846,0.08187788287515786,0.042871002282499134,0.05524357250840419,0.04776069007398376,0.051214039669134286,0.04007761193128462,0.06640623981472946,0.038498857611510895,0.028661938688067993,0.01765168080300185,0.019766439467690577,0.02404030973025089,0.02111808310271595,0.018139614620715682,0.022554329962339834,0.0216082667148868,0.01670592726200585,0.014518796037685114,0.019665293295504822
a_kidera4,0.04763908609151029,0.04802817040578633,0.03239454970128183,0.0338444396709143,0.07343541174066547,0.02157089796870685,1.5438851541153502,0.04855570417247311,0.09335611496188509,0.034402187357299586,0.056976207177137236,0.03921081035126725,0.04846476275545823,0.04107363705177436,0.028139044744066935,0.030526012181902682,0.01843089652306947,0.01609020426151351,0.016649929364824276,0.016552145673523654,0.01974861696145959,0.010252790425213782,0.017077335567521737,0.02017246146066993,0.012689484272742373,0.016480442932765786
a_kidera5,0.03303912412091291,0.05151781883260196,0.042685478144145445,0.06872072818409274,0.058007923209169136,0.08187788287515785,0.04855570417247311,1.6751260998680766,0.044046385025523604,0.03576051407463663,0.05034600309632859,0.05586556083509566,0.046529087706672204,0.03293700488611161,0.03126208770583472,0.024755533907028095,0.01529983719012011,0.014704561899670239,0.015623729695419777,0.020439798609829567,0.01964624441875479,0.017131821971731232,0.019756018248020944,0.015778351860421154,0.009737536165332229,0.01740025389405974
a_kidera6,0.061925183094838535,0.09226829367052425,0.056139285826988086,0.04351754320885501,0.103921443806462,0.042871002282499134,0.09335611496188506,0.04404638502552362,1.688349889446201,0.03365818530402434,0.05683736085637779,0.08066896489865821,0.11269526127133395,0.058336107172118984,0.04339506771111873,0.027696876477404358,0.022988016095265656,0.022761209987570676,0.02064381738020643,0.012720159034488502,0.02693211349505993,0.03400588653097425,0.0291246898200365,0.026846806803685935,0.017150095658714084,0.022690559423152498
a_kidera7,0.037374288234745506,0.10400549333341887,0.055447367318418386,0.039748920125203674,0.07916266212203407,0.05524357250840417,0.03440218735729959,0.03576051407463663,0.033658185304024334,1.8742945762366443,0.16693532118909468,0.0542560012280222,0.05918477409202691,0.04665587215512517,0.034758658462723704,0.0223031392857576,0.020794779510884837,0.019617387991396486,0.025857177523297043,0.016331359435484437,0.02097582580878025,0.02073227983678673,0.019267556709144984,0.015447631463507784,0.012913845784321419,0.01829877064505796
a_kidera8,0.028929688664075047,0.0946896862400766,0.05496950754387312,0.13453678723587364,0.11855541976555184,0.04776069007398373,0.056976207177137236,0.05034600309632859,0.05683736085637779,0.16693532118909468,1.83383038033002,0.08786910483834613,0.04074919649027231,0.056910589280675966,0.06767503960098699,0.04022459490796381,0.020207907246649538,0.022450636646491804,0.03841967988138048,0.024441929069484433,0.02139343968066275,0.027056694396969568,0.024583335727082347,0.02060145867212629,0.012624790002795374,0.02317965986038399
a_kidera9,0.13576311538811342,0.06853844996629724,0.057259028248079276,0.09019023964830662,0.23158050641858266,0.05121403966913428,0.03921081035126726,0.05586556083509567,0.08066896489865824,0.05425600122802219,0.08786910483834612,1.8798581008455153,0.10796052692901306,0.05665991646238801,0.0347755373769448,0.026045108473395834,0.02344398339746591,0.020723265261439385,0.03451277244713602,0.012991035237473511,0.028735669086175798,0.024180195972714234,0.022430560836020758,0.019880852400129396,0.015213781684019451,0.03188053259121795
a_kidera10,0.05960317034423208,0.07676463389763302,0.04618793013537621,0.03368647675943663,0.06332392865265903,0.04007761193128461,0.048464762755458225,0.0465290877066722,0.11269526127133396,0.05918477409202691,0.04074919649027231,0.10796052692901306,1.891965554576373,0.04162168552099567,0.03563480850150412,0.026453233688276342,0.019261553285195434,0.014748816870274017,0.021478553600942335,0.019393446768346905,0.038790278643482126,0.021963199081302842,0.029507045744690343,0.021911839017133564,0.016849664315002483,0.0244216298449878
b_length_bin,0.06460105156286826,0.4971522530405261,0.3529668498944688,0.0514052546911754,0.07508521824489503,0.06640623981472948,0.04107363705177435,0.03293700488611161,0.058336107172118984,0.04665587215512519,0.05691058928067595,0.05665991646238802,0.04162168552099566,1.6478524438301128,0.118464651767615,0.08457799126788339,0.021490238788124512,0.03578349315803453,0.057832448235201006,0.029330269974875957,0.028497385776336023,0.033966454645424735,0.02513530520287032,0.022691612778663994,0.013356462281150767,0.030504595254593897
b_V_segment_spec,0.04211402293325586,0.12932558491066024,0.09131195470829598,0.03658385217895534,0.06450430865094954,0.038498857611510874,0.028139044744066952,0.03126208770583471,0.04339506771111872,0.03475865846272371,0.06767503960098702,0.0347755373769448,0.03563480850150413,0.11846465176761502,2.0536172823387555,0.7305336010771589,0.028738921921991966,0.07404072694489582,0.07180343191520679,0.052810742649745175,0.04527396358270014,0.062124943220846746,0.06950822142256086,0.06767538326248987,0.04005145564488974,0.04862888492949274
b_V_segment_agg,0.03889389810604831,0.08322834461125661,0.05331453415575059,0.02405588955050721,0.03471829359975687,0.028661938688067986,0.030526012181902686,0.0247555339070281,0.027696876477404365,0.022303139285757605,0.04022459490796382,0.02604510847339583,0.026453233688276335,0.08457799126788337,0.7305336010771588,1.954655411425369,0.03328887720742963,0.047763509412870594,0.062226674469252084,0.054682158381348975,0.0376369819078134,0.05818571646140989,0.05403803863067876,0.031612854072714386,0.03281113409919006,0.040420627815528534
b_kidera1,0.025910576210700725,0.05172841251579074,0.03796412971624289,0.019566840088659873,0.017717420783808037,0.01765168080300185,0.018430896523069472,0.015299837190120113,0.022988016095265643,0.020794779510884834,0.02020790724664954,0.02344398339746591,0.01926155328519543,0.021490238788124512,0.028738921921991963,0.03328887720742964,1.8309155949635836,0.047665248699044774,0.08977390607117149,0.03756951266141546,0.15600070893012813,0.0784656260406058,0.05117759498890585,0.06646652809472874,0.10320951398285377,0.05398823817002822
b_kidera2,0.023987564478797987,0.0458386148426986,0.0324097132308357,0.020622952153509296,0.030460556694781715,0.019766439467690584,0.016090204261513506,0.014704561899670237,0.02276120998757067,0.019617387991396482,0.022450636646491804,0.02072326526143938,0.014748816870274021,0.03578349315803453,0.0740407269448958,0.04776350941287059,0.047665248699044774,1.7852811184922512,0.043910958607646794,0.14296222993164986,0.05317156613105586,0.08554727184137031,0.076203964000202,0.07309593958832343,0.1523211237814513,0.06186936231127159
b_kidera3,0.03397274073656538,0.07079729719538248,0.04862623065029086,0.03052476906441984,0.03555613647198945,0.02404030973025089,0.016649929364824272,0.015623729695419773,0.020643817380206438,0.02585717752329703,0.03841967988138047,0.034512772447136006,0.021478553600942328,0.057832448235201006,0.07180343191520677,0.062226674469252084,0.08977390607117149,0.043910958607646794,1.712061541891568,0.05938732386608008,0.051410332677748936,0.04840877760058395,0.05996510880409524,0.04372566822987886,0.043400940732689,0.03541399244574823
b_kidera4,0.015315178523253807,0.040080072240167956,0.024923011694925182,0.02076413158232543,0.029250398897974598,0.02111808310271595,0.01655214567352365,0.020439798609829567,0.012720159034488502,0.016331359435484437,0.024441929069484433,0.01299103523747351,0.01939344676834691,0.02933026997487596,0.052810742649745154,0.054682158381348975,0.037569512661415456,0.1429622299316499,0.05938732386608009,1.770743683396333,0.04846946649214488,0.18982693149128885,0.0630399532510911,0.04836177348755773,0.032554211898446636,0.045811622952445306
b_kidera5,0.024749793208676683,0.09411834928860258,0.06526243761090263,0.02085799043673588,0.03052249638770927,0.018139614620715686,0.019748616961459596,0.019646244418754788,0.026932113495059924,0.020975825808780255,0.021393439680662752,0.028735669086175798,0.03879027864348213,0.028497385776336027,0.045273963582700145,0.0376369819078134,0.15600070893012813,0.05317156613105586,0.05141033267774893,0.048469466492144876,1.7331222421906485,0.05252372001220448,0.08180339575833041,0.07378823579562355,0.04775594196529068,0.14527631078111472
b_kidera6,0.019186776941290878,0.0500377689532951,0.04027107725243862,0.019293850135807585,0.02891843835357034,0.022554329962339838,0.010252790425213782,0.01713182197173123,0.034005886530974264,0.020732279836786723,0.027056694396969564,0.024180195972714234,0.02196319908130284,0.03396645464542472,0.06212494322084673,0.058185716461409916,0.07846562604060578,0.08554727184137033,0.04840877760058395,0.18982693149128882,0.052523720012204476,1.7337700615165008,0.04388085506869619,0.047009169448346426,0.029895487377419098,0.13956735675639118
b_kidera7,0.025647011266907088,0.049190996329712126,0.038026787686371064,0.014915994580110104,0.03391373480058387,0.0216082667148868,0.017077335567521737,0.01975601824802095,0.0291246898200365,0.01926755670914498,0.02458333572708234,0.022430560836020758,0.02950704574469033,0.02513530520287033,0.06950822142256084,0.05403803863067877,0.05117759498890585,0.076203964000202,0.05996510880409524,0.06303995325109112,0.08180339575833039,0.0438808550686962,1.876930281240309,0.2723298849540506,0.06309854639393628,0.04760404839304283
b_kidera8,0.02078789073606871,0.04091244171804641,0.030136274641132804,0.021090939050442237,0.02948156717950792,0.01670592726200585,0.02017246146066992,0.01577835186042115,0.02684680680368593,0.015447631463507786,0.0206014586721263,0.019880852400129396,0.02191183901713356,0.022691612778663998,0.06767538326248988,0.0316128540727144,0.06646652809472875,0.07309593958832346,0.04372566822987886,0.04836177348755771,0.07378823579562353,0.04700916944834642,0.2723298849540507,1.6312631047150077,0.08594549748158677,0.03953248249367454
