,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10
a_length_bin,0.0,2.9157792961905607e-07,0.18118910940092312,0.06588818383533666,4.4265916590206383e-17,1.0659003917361091e-20,2.3291511913385284e-13,0.12274045792180564,0.006485943737261364,1.6832453475014115e-25,3.261858301056687e-06,1.3492091929931965e-05,4.4109546567875627e-11,0.0009257011804279343,0.04064435078178131,0.24594947524931884,0.8981778989861162,0.9532748764822718,0.13611063320994699,0.3756647941342195,0.3537385826092986,0.015498191191938536,0.2012268708330579,0.08299483505255774,0.20210665680682482,0.3884623563185666
a_V_segment_spec,2.9157792961905607e-07,0.0,0.18896735528767625,0.7950351494334599,8.71482102089309e-06,0.0031865132796666516,1.6348846247752538e-07,0.3415686072900115,0.0007672029196967291,0.0001611714001302553,0.02002830139489632,0.5643778592075617,0.0002479622030664357,6.269411131518994e-05,0.5922055915965383,0.5449230287481868,0.024181777216651677,8.865693143888003e-05,0.013956269407240285,0.5950059711948266,2.8575025868379155e-06,3.730960952415462e-06,0.0002557799727360347,0.00047324534909265936,0.8857667984764745,1.2710390518474692e-05
a_V_segment_agg,0.18118910940092328,0.18896735528767625,0.0,0.390604481644775,0.010486465973712526,0.5790709333649273,0.10063038650242541,0.09982953390000918,0.24125534343229957,0.8852001948470878,0.6926637800217845,0.37954793429336,0.5112226471410973,1.225737408298979e-30,0.12569519879623844,0.6655575852457991,0.06660229181191624,0.033598745045886926,0.8157021215193123,0.5678375113535803,0.09053443589830529,0.056628064907035466,0.7637734264682787,0.14305419913035788,0.5316011117201893,0.1111235494788639
a_kidera1,0.06588818383533664,0.7950351494334599,0.390604481644775,0.0,0.0012415959953166762,5.117624615760182e-10,0.1715327485688109,4.588412403465732e-06,0.001028797136844937,0.1599757113581787,2.4219451713677634e-26,0.19334640026954858,0.6822647551470395,0.4033169356882428,0.4807413924911611,0.10104857559882302,0.2775042926440651,0.6887210873758152,0.11643191183234279,0.6447438482302195,0.561829311321046,0.12780662066265946,0.08173361285738191,0.16020793623202853,0.21938746519979632,0.40938713805532057
a_kidera2,4.4265916590206383e-17,8.714821020893119e-06,0.010486465973712522,0.0012415959953166762,0.0,1.5572085055877366e-14,0.19481197174252918,0.0034749509599048644,2.6006958712742386e-23,6.802468586151477e-19,0.18316157916179254,1.6738881075687446e-21,0.26582203875109556,0.11799817204419885,0.25724743513035736,0.7850577937249565,0.2653061683780442,0.9613260023350132,0.6054458182935567,0.7018556312752642,0.09451526153722897,0.5512299464644187,0.4495466797755676,0.4694292134576987,0.6650731675054424,0.04699821170786164
a_kidera3,1.0659003917361091e-20,0.003186513279666652,0.5790709333649273,5.117624615760108e-10,1.5572085055877366e-14,0.0,0.01774219800360582,6.962520609226276e-07,0.3433228572633924,1.9146154502397117e-11,0.9658860247323213,0.19552683352517208,0.3587348213454694,0.011267737045924965,0.35243137263960067,0.0020599620855781854,0.4285040423759022,0.015030295654910271,0.24319647296055502,0.47286339886255,0.17718202322041032,3.3830527283994314e-06,0.003936041840341325,0.0022412873312752826,0.5171229197970757,0.2041197663514192
a_kidera4,2.3291511913385284e-13,1.6348846247752448e-07,0.10063038650242541,0.1715327485688109,0.19481197174252918,0.017742198003605835,0.0,0.10847454698645388,4.350629439929314e-11,7.72204426218013e-05,0.37454174488577274,0.00010356854616083511,1.7516727549777904e-07,0.0011463766031589414,0.13437441934316002,0.3628523346112281,0.0783559499363865,0.6579160153823149,0.0655521696870071,0.43213908263934775,0.03436353151697642,0.23294548427684678,0.659333064232443,0.9252490082960272,0.4707695810844964,0.11228799143755659
a_kidera5,0.12274045792180568,0.3415686072900115,0.09982953390000918,4.588412403465717e-06,0.0034749509599048644,6.962520609226276e-07,0.10847454698645388,0.0,0.0029481668206802173,0.0003757923886635492,6.458742537905146e-13,0.7249530218115031,2.1714353762792627e-07,0.8288069080051843,0.7977288821005055,0.06846369228412673,0.9778540444717816,0.9689697341054078,0.17986669362653349,0.09289267039191447,0.3122878039387666,0.0185800671672402,0.6991570631388571,0.12284748369974635,0.9043295554372228,0.5282834434913761
a_kidera6,0.006485943737261364,0.0007672029196967278,0.24125534343229957,0.001028797136844937,2.6006958712742386e-23,0.3433228572633924,4.350629439929314e-11,0.0029481668206802225,0.0,0.06095401607835788,0.08846672787832179,0.029668418559374226,9.109091305540008e-22,0.6844270004757922,0.8949883010898372,0.40346275220739636,0.4313354964057795,0.8801889541899157,0.725287726820542,0.21219832828638663,0.9253871756610945,0.6601004066220053,0.15955639923689785,0.5701340172027205,0.828352919562648,0.16603760488316507
a_kidera7,1.6832453475014115e-25,0.0001611714001302553,0.8852001948470878,0.1599757113581787,6.802468586151477e-19,1.9146154502397117e-11,7.72204426218015e-05,0.0003757923886635492,0.06095401607835788,0.0,3.492699629245712e-28,2.3042429301636055e-07,5.1355088208116775e-09,5.475942378291849e-05,0.972970354642275,0.0029153489575792736,0.7292731507169921,0.2859506015980903,0.28742008014686254,0.12593193784700246,0.09285118946554353,0.1956322325892895,0.6327932972493302,0.3635074517330892,0.894400612742393,0.5416938726000458
a_kidera8,3.2618583010566698e-06,0.02002830139489632,0.6926637800217845,2.4219451713677637e-26,0.18316157916179265,0.9658860247323213,0.37454174488577274,6.458742537905146e-13,0.08846672787832179,3.492699629245712e-28,0.0,0.5861705030012803,0.003940768376940397,0.004262273558435101,0.43051022641942094,0.2358420286464383,0.7585988012444578,0.8558735513072377,0.2759678692278021,0.6637644493879696,0.8803526141523921,0.48058988173766426,0.5292247571985562,0.9857641619331323,0.8098200210169872,0.6005328266170588
a_kidera9,1.3492091929931965e-05,0.5643778592075617,0.37954793429335976,0.1933464002695485,1.6738881075687446e-21,0.19552683352517208,0.00010356854616083511,0.7249530218115031,0.029668418559374226,2.3042429301636055e-07,0.5861705030012803,0.0,2.840529843957341e-05,0.9232304300178755,0.12097739221686955,0.7333785155090626,0.5356252732734409,0.1768747828993035,0.06953172452670615,0.19187854667831047,0.6722403404697548,0.0600212988588749,0.2090413941281244,0.013151777987349006,0.5184420729770933,0.5927856408879146
a_kidera10,4.410954656787531e-11,0.0002479622030664357,0.5112226471410973,0.6822647551470395,0.26582203875109556,0.3587348213454692,1.7516727549777904e-07,2.1714353762792627e-07,9.109091305540008e-22,5.1355088208116775e-09,0.003940768376940405,2.840529843957341e-05,0.0,1.6466889301313808e-07,0.01908238249314989,0.8294357610196103,0.01635289715244054,0.7433130262114851,0.2950979628461888,0.07733339899791623,0.010470198109474539,0.049223493661863384,0.11216775297862087,0.040202335809548,0.85522114404992,0.044954420001613614
b_length_bin,0.0009257011804279343,6.269411131518994e-05,1.225737408298979e-30,0.4033169356882428,0.11799817204419885,0.011267737045924965,0.0011463766031589414,0.8288069080051843,0.6844270004757922,5.475942378291849e-05,0.004262273558435101,0.9232304300178755,1.6466889301313808e-07,0.0,0.1561075241502314,0.003079198123698035,0.21564372241520222,0.38785557106355373,0.03218055071538813,0.42021403036046323,0.004945443572618676,0.005024299374268889,0.15828750474255848,0.0068415698672284,0.7589853226343103,0.04497566273015229
