,a_length_bin,a_V_segment_spec,a_V_segment_agg,a_kidera1,a_kidera2,a_kidera3,a_kidera4,a_kidera5,a_kidera6,a_kidera7,a_kidera8,a_kidera9,a_kidera10,b_length_bin,b_V_segment_spec,b_V_segment_agg,b_kidera1,b_kidera2,b_kidera3,b_kidera4,b_kidera5,b_kidera6,b_kidera7,b_kidera8,b_kidera9,b_kidera10
a_length_bin,0.0,3.986484610757403e-09,0.15743228838921802,0.02952292253568342,1.3915823171281895e-28,7.320702197498309e-24,3.409562596440858e-15,0.11173684069945933,2.2222469323897242e-05,4.140314045589468e-28,2.5943755388124915e-06,9.30242056168746e-05,1.5629841221809853e-18,1.7873280635765077e-05,0.04130109116819062,0.050993152201397295,0.9829168031589225,0.9428338210028194,0.22654739729626053,0.2546854281970764,0.28952086040180375,0.024579120069933156,0.7536409314328448,0.2230929500461815,0.2995891302518041,0.19817308483891055
a_V_segment_spec,3.986484610757403e-09,0.0,0.5844638534794457,0.2622125682747399,1.225605154598167e-07,1.1247515610896735e-07,2.5461419931918534e-09,0.5816038055305587,0.00010416981437269006,1.0561780126726028e-06,0.0007197502875319722,0.4407636992295927,1.612019118665465e-07,5.642811008885251e-21,0.519760335904329,0.6524792103862644,0.00011460013419361685,0.00010039751849354684,0.006561341478734751,0.13429531427954003,3.0720278961269147e-08,3.235634361897514e-11,9.226035950319245e-05,7.480781327114514e-06,0.2498506334375305,8.97618452945137e-08
a_V_segment_agg,0.15743228838921802,0.5844638534794457,0.0,0.10396925289983878,0.005209368025720426,0.44670865741335186,0.0759075330685437,0.22608394778188864,0.13954243124016752,0.5551177578308844,0.8619850508381002,0.8253271394154873,0.6534187741665767,0.0050517509490510155,0.43726568334201843,0.1881848867310425,0.4505187009683088,0.062259988593406,0.9349190754853111,0.6196265565848575,0.8816865935668994,0.15383348158569157,0.8897042514932749,0.5664345618014965,0.457374147541309,0.4117189450149411
a_kidera1,0.02952292253568342,0.2622125682747399,0.10396925289983878,0.0,1.1911219793860217e-07,9.886601890884173e-09,0.11175599238141319,0.006231651441979267,1.6446255826066675e-05,0.4673815702432331,3.957342847874456e-14,0.2066897957473526,0.04667058953924919,0.09009755954181348,0.6242209730227619,0.0536247767565946,0.0765034665923811,0.7634792802949693,0.03563209498407059,0.3417423140684248,0.8320281594970156,0.17169604411100495,0.08621206684332816,0.04780915821948952,0.11155487228409577,0.3755986923327834
a_kidera2,1.3915823171281895e-28,1.225605154598167e-07,0.005209368025720426,1.1911219793860217e-07,0.0,7.286394144814233e-20,0.7982329545016748,1.230450665408446e-05,9.016702542094572e-27,2.2313217334275752e-17,0.8742666917960826,9.246389050114681e-20,0.00012996514985837962,0.022877850507353022,0.5849349061526318,0.7613159648376836,0.13333038047896353,0.34712572925499297,0.7278028183731171,0.3450386765095246,0.027346181635163374,0.16127657947063556,0.7396534432268171,0.3735395040080892,0.3782316290035075,0.03002225260666329
a_kidera3,7.320702197498309e-24,1.1247515610896735e-07,0.44670865741335186,9.886601890884173e-09,7.286394144814233e-20,0.0,0.24215104546387478,1.0809105231927547e-06,0.5656854172075209,3.647545503417052e-22,0.4833369347679095,0.6241834098387002,0.38624072448497515,0.0003487708113151196,0.9987428672997768,3.628551695696918e-05,0.13805029777585331,0.008633137643248788,0.4008261176951594,0.07901578393979915,0.43159279834958164,5.796090577424508e-07,0.0320697092384202,0.0069850276087024725,0.9756144465596069,0.0539873909698025
a_kidera4,3.409562596440858e-15,2.5461419931918534e-09,0.0759075330685437,0.11175599238141319,0.7982329545016748,0.24215104546387478,0.0,0.0007686561639667593,2.165008428407571e-16,8.582531701049883e-06,0.49219947999441793,0.00023400666716306376,2.172492115103766e-05,2.3000402238814423e-06,0.05365540320498725,0.4345486292288181,0.0037603343961224475,0.4318395312661689,0.23212520335548395,0.727902847625501,0.01858984999598086,0.02355238904509586,0.5176218757791375,0.3762259062625235,0.3366685068660277,0.03366102332202017
a_kidera5,0.11173684069945933,0.5816038055305587,0.22608394778188864,0.006231651441979267,1.230450665408446e-05,1.0809105231927547e-06,0.0007686561639667593,0.0,0.004533474909698964,0.782782008467784,3.140814754848105e-07,9.323869940184534e-06,0.19678924428302258,0.01110966839216117,0.7963233017985992,0.011972221049497515,0.8477352055956647,0.7338046557538336,0.15422856755619116,0.0027484177245781474,0.1260860503115114,0.0009143706031066265,0.8505538538215687,0.21400152933192998,0.293807981865465,0.9849391570846355
a_kidera6,2.2222469323897242e-05,0.00010416981437269006,0.13954243124016752,1.6446255826066675e-05,9.016702542094572e-27,0.5656854172075209,2.165008428407571e-16,0.004533474909698964,0.0,0.10273606091668952,0.004148595258390619,3.459426489017609e-05,8.133766163202085e-29,0.01181428993466007,0.9042734943195597,0.8280866272900126,0.6916467971845274,0.7272843808878475,0.4400022128990154,0.1308019405304147,0.9232293470727616,0.053380756601966506,0.8277950835805088,0.9930945394704411,0.6387170552083168,0.16594656850120312
a_kidera7,4.140314045589468e-28,1.0561780126726028e-06,0.5551177578308844,0.4673815702432331,2.2313217334275752e-17,3.647545503417052e-22,8.582531701049883e-06,0.782782008467784,0.10273606091668952,0.0,1.060725969630965e-36,0.00040036578856181786,4.1689967964425975e-17,6.508681960281067e-06,0.8906507516553321,0.0033877521186897615,0.8725499260406984,0.7194442667235732,0.3513719718352336,0.06373151202669124,0.09694205361081014,0.07806566794131263,0.9178347375564991,0.5065367337081915,0.4514679341030553,0.7479791550193002
a_kidera8,2.5943755388124915e-06,0.0007197502875319722,0.8619850508381002,3.957342847874456e-14,0.8742666917960826,0.4833369347679095,0.49219947999441793,3.140814754848105e-07,0.004148595258390619,1.060725969630965e-36,0.0,0.17276842174772403,0.0033952770113564595,0.010939118695502372,0.8214065552585799,0.31730556426883283,0.8029472199520262,0.4327034288136049,0.3966651318176898,0.8409391748386018,0.6902947187853542,0.798366438865673,0.38215197467387785,0.5932962634265961,0.7006746185183774,0.9558813175510875
a_kidera9,9.30242056168746e-05,0.4407636992295927,0.8253271394154873,0.2066897957473526,9.246389050114681e-20,0.6241834098387002,0.00023400666716306376,9.323869940184534e-06,3.459426489017609e-05,0.00040036578856181786,0.17276842174772403,0.0,3.0407913939489267e-13,0.31475504506453716,0.06854632995580172,0.7481828783586616,0.32445059623792405,0.07789303458543224,0.15371709944101794,0.5204290064238841,0.24970618858772636,0.16503781012228372,0.02759503217472722,0.0030725201989894517,0.3346139748970145,0.48527722101533044
a_kidera10,1.5629841221809853e-18,1.612019118665465e-07,0.6534187741665767,0.04667058953924919,0.00012996514985837962,0.38624072448497515,2.172492115103766e-05,0.19678924428302258,8.133766163202085e-29,4.1689967964425975e-17,0.0033952770113564595,3.0407913939489267e-13,0.0,1.5029045230349005e-05,0.031137287664533535,0.3326924999278139,0.006781559827281193,0.802469203520701,0.12798830313162426,0.6362318937279983,0.03602253452472347,0.00789179884225707,0.08667016697370712,0.017724749525233768,0.34883465497913557,0.13049154556699086
